,"Scalar B, nT","SW Plasma Temperature, K","SW Proton Density, N/cm^3","SW Plasma Speed, km/s",Alpha/Prot. ratio,Flow pressure,Kp index,R (Sunspot No.),"Dst-index, nT",f10.7_index
1989-11-01,7.2,138338.0,8.4,456.0,0.121,3.54,20.0,211.0,-22.0,211.4
1989-11-02,16.3,200284.0,11.4,517.0,0.055,6.18,33.0,220.0,-14.0,216.0
1989-11-03,13.2,187554.0,5.9,552.0,0.079,3.87,40.0,263.0,-52.0,217.6
1989-11-04,10.8,70908.0,5.8,489.0,0.096,3.24,37.0,297.0,-40.0,223.9
1989-11-05,9.636000000000001,178441.44,7.75,487.58,0.06953999999999999,3.884399999999996,33.0,314.0,-44.0,235.4
1989-11-06,8.852,158094.4,7.571999999999999,464.67,0.07158999999999999,3.4409000000000014,27.0,337.0,-40.0,255.3
1989-11-07,9.279999999999994,161635.06,7.6910000000000025,485.46,0.0728,3.8594999999999975,33.0,321.0,-45.0,207.3
1989-11-08,8.1,305762.0,1.1,580.0,0.06351999999999997,0.78,27.0,296.0,-33.0,270.9
1989-11-09,9.7,261285.0,4.9,629.0,0.069,4.01,37.0,294.0,-31.0,257.2
1989-11-10,7.4,38254.0,4.1,511.0,0.06219000000000002,2.25,23.0,279.0,-25.0,246.3
1989-11-11,11.2,97735.0,15.0,498.0,0.06880000000000001,7.42,33.0,246.0,-6.0,249.1
1989-11-12,9.5,82953.0,10.6,420.0,0.07725000000000003,3.75,23.0,238.0,-16.0,253.5
1989-11-13,12.1,149050.0,12.2,462.0,0.06222999999999998,5.3,47.0,211.0,-68.0,240.3
1989-11-14,10.1,37775.0,9.8,384.0,0.089,3.19,27.0,193.0,-76.0,243.0
1989-11-15,10.1,34066.0,9.2,351.0,0.104,2.63,13.0,182.0,-37.0,216.5
1989-11-16,9.5,48251.0,10.4,330.0,0.099,2.56,13.0,171.0,-18.0,216.2
1989-11-17,34.6,447984.64,9.672000000000008,726.57,0.15504999999999983,11.114699999999992,60.0,171.0,-120.0,215.0
1989-11-18,12.919999999999998,126321.5,11.695999999999994,466.18,0.06854,5.3035000000000005,40.0,184.0,-150.0,221.6
1989-11-19,8.545999999999998,148025.53,5.678000000000002,494.93,0.08697000000000003,2.9290000000000016,20.0,171.0,-67.0,229.2
1989-11-20,7.740000000000001,101872.03,8.312000000000006,403.26,0.06703000000000002,2.7483999999999984,23.0,194.0,-37.0,223.7
1989-11-21,14.0,199469.0,5.6,488.0,0.048,2.65,23.0,219.0,-29.0,229.4
1989-11-22,10.2,167506.0,6.7,397.0,0.11,2.43,17.0,223.0,-17.0,222.0
1989-11-23,8.2,90080.0,5.9,357.0,0.139,1.84,13.0,216.0,-17.0,213.4
1989-11-24,7.1,62171.0,8.2,389.0,0.058,2.49,20.0,220.0,-11.0,208.8
1989-11-25,7.9,33845.0,15.5,353.0,0.051,3.89,3.0,241.0,2.0,216.0
1989-11-26,12.8,54778.0,19.8,346.0,0.074,5.08,23.0,253.0,0.0,234.3
1989-11-27,12.8,256061.0,8.0,455.0,0.093,3.86,30.0,252.0,-20.0,239.4
1989-11-28,22.2,503303.0,11.0,627.0,0.119,8.89,40.0,252.0,-23.0,231.3
1989-11-29,15.5,14979.0,2.0,588.0,0.058,1.46,33.0,226.0,-18.0,215.1
1989-11-30,10.656999999999996,161580.53,8.372000000000003,470.3,0.07255000000000003,3.7956999999999987,33.0,250.0,-37.0,240.9
1989-12-01,11.943999999999999,146918.09,9.347000000000001,485.93,0.06600999999999997,4.565599999999998,43.0,253.0,-36.0,223.7
1989-12-02,9.636999999999995,156634.69,7.824000000000005,490.95,0.06942999999999999,3.934399999999998,33.0,233.0,-59.0,213.7
1989-12-03,9.656000000000004,180190.5,7.749999999999996,510.51,0.06527,4.097499999999999,40.0,259.0,-45.0,205.6
1989-12-04,8.4,302657.0,3.2,641.0,0.046,2.46,40.0,233.0,-56.0,212.9
1989-12-05,4.6,191110.0,1.8,549.0,0.033,0.93,23.0,245.0,-53.0,209.7
1989-12-06,4.6,85301.0,4.1,450.0,0.055,1.68,13.0,235.0,-23.0,209.7
1989-12-07,9.3,77526.0,7.1,407.0,0.054,2.43,23.0,277.0,-11.0,221.5
1989-12-08,8.4,200164.0,3.6,465.0,0.096,1.65,17.0,213.0,-7.0,203.6
1989-12-09,6.3,76801.0,5.9,361.0,0.068,1.61,10.0,206.0,-2.0,194.6
1989-12-10,7.4,55555.0,11.0,341.0,0.05983999999999998,2.56,7.0,189.0,11.0,177.1
1989-12-11,9.1,113371.0,9.7,371.0,0.15432000000000004,2.55,13.0,133.0,5.0,171.7
1989-12-12,9.9,99638.91,7.2099999999999955,394.94,0.05918999999999998,2.3140000000000005,20.0,127.0,-3.0,164.9
1989-12-13,6.925000000000001,83832.85,7.066000000000002,405.28,0.06179999999999998,2.343300000000001,17.0,137.0,-13.0,163.2
1989-12-14,7.717,106161.85,7.261000000000004,404.72,0.06436000000000003,2.4171000000000014,23.0,128.0,-12.0,161.8
1989-12-15,7.739,106246.17,8.349000000000006,404.29,0.06539000000000002,2.773099999999998,23.0,107.0,-12.0,165.5
1989-12-16,12.0,87546.0,5.6,413.0,0.028,1.78,30.0,129.0,-25.0,164.1
1989-12-17,8.3,155124.0,4.1,456.0,0.064,1.76,23.0,153.0,-20.0,176.0
1989-12-18,5.6,62547.0,11.9,409.0,0.041,3.84,20.0,157.0,-2.0,185.9
1989-12-19,7.5,54967.0,9.5,368.0,0.05797000000000001,2.59,17.0,167.0,0.0,188.2
1989-12-20,8.1,69199.0,12.1,352.0,0.057929999999999954,3.0,17.0,162.0,4.0,189.3
1989-12-21,9.8,80088.0,17.4,377.0,0.074,5.08,20.0,142.0,5.0,189.9
1989-12-22,13.1,171614.0,21.5,453.0,0.051,8.9,37.0,192.0,-4.0,199.9
1989-12-23,12.3,130079.0,8.1,495.0,0.067,3.86,30.0,257.0,-25.0,213.8
1989-12-24,10.4,216006.0,4.8,556.0,0.044,2.93,33.0,244.0,-19.0,231.0
